Designator,Mid X,Mid Y,Rotation,Layer
C1,220.472,-184.404,270.0,bottom
C2,247.33,-188.918314,0.0,bottom
C3,215.9,-181.356,180.0,bottom
C4,209.738,-191.458314,0.0,bottom
C5,215.392,-185.42,0.0,bottom
C6,184.912,-192.474314,180.0,bottom
C7,160.528,-194.506314,0.0,bottom
C8,165.542,-195.522314,0.0,bottom
D1,84.291849,-114.822314,90.0,bottom
D10,255.651849,-112.442314,90.0,bottom
D11,274.691849,-112.442314,90.0,bottom
D12,293.731849,-112.442314,90.0,bottom
D13,312.771849,-112.442314,90.0,bottom
D14,341.331849,-112.442314,90.0,bottom
D15,81.911849,-121.962314,0.0,bottom
D16,112.851849,-126.722314,90.0,bottom
D17,131.891849,-126.722314,90.0,bottom
D18,150.931849,-126.722314,90.0,bottom
D19,169.971849,-126.722314,90.0,bottom
D2,103.331849,-114.822314,90.0,bottom
D20,189.011849,-126.722314,90.0,bottom
D21,208.051849,-126.722314,90.0,bottom
D22,227.091849,-126.722314,90.0,bottom
D23,246.131849,-126.722314,90.0,bottom
D24,265.171849,-126.722314,90.0,bottom
D25,284.211849,-126.722314,90.0,bottom
D26,303.251849,-126.722314,90.0,bottom
D27,322.291849,-126.722314,90.0,bottom
D28,346.091849,-129.102314,90.0,bottom
D29,89.051849,-141.002314,0.0,bottom
D3,122.371849,-114.822314,90.0,bottom
D30,117.611849,-145.762314,90.0,bottom
D31,136.651849,-145.762314,90.0,bottom
D32,155.691849,-145.762314,90.0,bottom
D33,174.731849,-145.762314,90.0,bottom
D34,189.011849,-141.002314,0.0,bottom
D35,212.811849,-145.762314,90.0,bottom
D36,231.851849,-145.762314,90.0,bottom
D37,250.891849,-145.762314,90.0,bottom
D38,269.931849,-145.762314,90.0,bottom
D39,288.971849,-145.762314,90.0,bottom
D4,141.411849,-114.822314,90.0,bottom
D40,308.011849,-145.762314,90.0,bottom
D41,346.091849,-145.762314,90.0,bottom
D42,93.811849,-160.042314,0.0,bottom
D43,127.131849,-164.802314,90.0,bottom
D44,146.171849,-164.802314,90.0,bottom
D45,165.211849,-164.802314,90.0,bottom
D46,184.251849,-164.802314,90.0,bottom
D47,203.291849,-164.802314,90.0,bottom
D48,222.331849,-164.802314,90.0,bottom
D49,241.371849,-167.182314,90.0,bottom
D5,160.451849,-112.442314,90.0,bottom
D50,260.411849,-164.802314,90.0,bottom
D51,279.451849,-162.422314,90.0,bottom
D52,298.491849,-162.422314,90.0,bottom
D53,343.711849,-164.802314,90.0,bottom
D54,89.051849,-183.842314,90.0,bottom
D55,112.851849,-183.842314,90.0,bottom
D56,136.651849,-183.842314,90.0,bottom
D57,203.2,-178.816,0.0,bottom
D58,279.451849,-183.842314,90.0,bottom
D59,303.251849,-183.842314,90.0,bottom
D6,179.491849,-112.442314,90.0,bottom
D60,327.051849,-183.842314,90.0,bottom
D61,343.711849,-179.082314,0.0,bottom
D62,216.408,-189.934314,0.0,bottom
D63,175.26,-190.950314,180.0,bottom
D7,198.531849,-112.442314,90.0,bottom
D8,217.571849,-112.442314,90.0,bottom
D9,236.611849,-112.442314,90.0,bottom
F1,210.312,-187.452,0.0,bottom
J2,84.291849,-105.302314,180.0,bottom
R1,208.788,-183.388,270.0,bottom
R2,157.8845,-181.806314,0.0,bottom
R3,184.3005,-182.822314,180.0,bottom
R4,168.148,-182.314314,0.0,bottom
R5,161.544,-188.918314,0.0,bottom
R6,166.624,-186.886314,0.0,bottom
R7,184.404,-187.394314,0.0,bottom
SW1,74.771849,-112.442314,180.0,top
SW10,246.131849,-112.442314,180.0,top
SW11,265.171849,-112.442314,180.0,top
SW12,284.211849,-112.442314,180.0,top
SW13,303.251849,-112.442314,180.0,top
SW14,331.811849,-112.442314,180.0,top
SW15,79.851849,-131.482314,180.0,top
SW16,103.331849,-131.482314,180.0,top
SW17,122.371849,-131.482314,180.0,top
SW18,141.411849,-131.482314,180.0,top
SW19,160.451849,-131.482314,180.0,top
SW2,93.811849,-112.442314,180.0,top
SW20,179.491849,-131.482314,180.0,top
SW21,198.531849,-131.482314,180.0,top
SW22,217.571849,-131.482314,180.0,top
SW23,236.611849,-131.482314,180.0,top
SW24,255.651849,-131.482314,180.0,top
SW25,274.691849,-131.482314,180.0,top
SW26,293.731849,-131.482314,180.0,top
SW27,312.771849,-131.482314,180.0,top
SW28,336.571849,-131.482314,180.0,top
SW29,81.911849,-150.522314,180.0,top
SW3,112.851849,-112.442314,180.0,top
SW30,108.091849,-150.522314,180.0,top
SW31,127.131849,-150.522314,180.0,top
SW32,146.171849,-150.522314,180.0,top
SW33,165.211849,-150.522314,180.0,top
SW34,184.251849,-150.522314,180.0,top
SW35,203.291849,-150.522314,180.0,top
SW36,222.331849,-150.522314,180.0,top
SW37,241.371849,-150.522314,180.0,top
SW38,260.411849,-150.522314,180.0,top
SW39,279.451849,-150.522314,180.0,top
SW4,131.891849,-112.442314,180.0,top
SW40,298.491849,-150.522314,180.0,top
SW41,329.431849,-150.522314,180.0,top
SW42,86.671849,-169.562314,180.0,top
SW43,117.611849,-169.562314,180.0,top
SW44,136.651849,-169.562314,180.0,top
SW45,155.691849,-169.562314,180.0,top
SW46,174.731849,-169.562314,180.0,top
SW47,193.771849,-169.402314,180.0,top
SW48,212.811849,-169.562314,180.0,top
SW49,231.851849,-169.562314,180.0,top
SW5,150.931849,-112.442314,180.0,top
SW50,250.891849,-169.562314,180.0,top
SW51,269.931849,-169.562314,180.0,top
SW52,288.971849,-169.562314,180.0,top
SW53,324.991849,-169.562314,180.0,top
